时间,acce_x_avg,acce_y_avg,acce_z_avg,pos_x,pos_y,pos_z,平面速度,3d速度,平面位移,3d位移,角度
2024-08-29 22:56:05,-9.184300785388679,3.0917105682989092,-1.5744207678132132,-7.861547052448551,-6.99639166730183,0.9390636362661966,0.5304200359589463,0.5910597444006794,0.5135962934316898,0.572312645339752,247.92812174422696
2024-08-29 22:56:06,-8.976302321073536,2.8582638894307997,-2.0812363390311215,-7.176904343017578,-7.253911153564453,1.1036058347167967,0.7407193004981535,0.7595495298381172,0.7172253335441695,0.7354583099361521,232.75501029983369
2024-08-29 22:56:07,-9.270266197468958,2.66038301184188,-1.9089029228658072,-6.16619362109375,-7.21439367578125,1.0890218046875,1.002592299873249,1.0026863694856165,0.9707923044556873,0.9708833903894022,227.1470734109868
2024-08-29 22:56:08,-9.153656397113345,2.5051214770122314,-1.7634114794125064,-5.154166229797363,-7.0706467862854,1.0382268359069824,1.020244053439378,1.021431312692535,0.9878841837014312,0.9890337857345848,232.7630190006432
2024-08-29 22:56:09,-9.39248972291474,2.2535711889863754,-1.7411552050651944,-4.351038980189732,-7.2155456875,1.0090456555524554,0.8094828152252099,0.8099145181572469,0.7838080203179875,0.78422603069963,249.59711865657567
2024-08-29 22:56:10,-9.388278803472678,2.5072463841773027,-1.8944397464961196,-3.657843168457031,-7.707463718581628,0.9850487768386316,0.8428218872919654,0.8431849383630247,0.816089659389735,0.8164411953778117,271.96067109864345
2024-08-29 22:56:11,-9.304223115665533,2.516493362417155,-1.8727371148505367,-3.323098559821634,-8.404586920546587,0.957687266407686,0.7662592944750863,0.7667510235932793,0.7419552557785469,0.7424313883439764,289.46116634477204
2024-08-29 22:56:12,-9.1452886723834,2.6527973662565585,-1.853571340906817,-3.5449066025469382,-9.130168417118195,0.9372357371471776,0.7585893573839407,0.7588053276136209,0.7345284068118584,0.7347375268939972,300.76131279696506
2024-08-29 22:56:13,-9.295151916517442,2.9345524217909342,-1.7599145275442725,-4.167264732236329,-9.765068380185546,0.9006666725878906,0.8879795454445549,0.8886907808615746,0.8598148114050103,0.8605034880182122,305.8036410707021
2024-08-29 22:56:14,-9.26231944825534,2.835782074144662,-1.5840832259235713,-5.067021393310546,-10.233723960296633,0.8970167808761597,1.0095193615558404,1.0095263375293118,0.9774996551652425,0.9775064098763679,298.66728863226194
2024-08-29 22:56:15,-9.338293842148046,2.757812327133131,-1.450921648984856,-6.06031200687803,-10.61334752205684,0.9205552516837284,1.061247754707823,1.0614939218849258,1.0275875979566347,1.027825957319086,289.3168869522149
2024-08-29 22:56:16,-9.15477481783792,2.752203423845027,-1.5966829285208977,-7.150981106872559,-11.067843625671388,0.939915008605957,1.1779946642908612,1.1782425904811826,1.1406315840146535,1.1408716465987698,277.2275451943039
2024-08-29 22:56:17,-9.154965912532298,2.756298556774538,-1.5112975165567506,-8.211403558725209,-11.496317251277045,0.9637402666579026,1.1442664948003194,1.1445991481800686,1.1079729093661206,1.1082950117213377,299.93241982449297
2024-08-29 22:56:18,-9.366597330402728,2.9416075304257108,-1.6263836178460491,-9.16013925998178,-11.87570993244349,0.950325575554286,1.0091654427353884,1.00926138305172,0.977156961861753,0.9772498591648676,307.2674216920652
2024-08-29 22:56:19,-9.291786399455981,2.9740982772056697,-1.6857720715700941,-10.411593732147962,-12.398589619426447,0.9782071895841272,1.3948714115170047,1.3951727508241192,1.3506291961120624,1.3509209776073061,298.5987332608097
2024-08-29 22:56:20,-9.28113533590245,2.8351180725335494,-1.683938472815908,-11.335273412109377,-12.70853707142223,1.0239462287819605,0.9752140250750755,0.9762227254449471,0.9442821694853102,0.9452588758791193,300.6703655052958
2024-08-29 22:56:21,-9.086967587139673,3.054313392509972,-1.883433791795653,-12.23588016126019,-12.8102546400518,1.0891540964673914,0.9195875154140153,0.92210707743015,0.89042024694416,0.8928598940631052,280.16196500658043
2024-08-29 22:56:22,-9.191625131762073,2.9743698364011686,-1.888759292262675,-12.8262565928125,-12.4225813659375,1.08531451875,0.6822983815461704,0.6823020141904742,0.6606575626402693,0.660661080066071,235.29984699625663
2024-08-29 22:56:23,-9.316883938665882,2.5283647124715154,-1.9016418562812645,-13.205615703979491,-11.539684243530273,1.0077872774658203,0.9542317063081901,0.9569015968509321,0.9239656012406279,0.9265508088000323,229.4439730375069
2024-08-29 22:56:24,-9.183288480351337,2.4869502433459556,-2.0318275714212963,-13.503902988961356,-10.576249274222237,1.0039739722900392,1.0044579539578107,1.0044706861531494,0.972598784146682,0.9726111125051337,240.1543893335977
2024-08-29 22:56:25,-9.139303871283804,2.5790939313030514,-1.7935814701855144,-13.840588803658624,-9.482769645743234,0.9826180313110352,1.1291997701955232,1.12934752351805,1.0933840677187845,1.0935271346349027,236.25298295770256
2024-08-29 22:56:26,-9.409384253433023,2.567806536277394,-1.7906880191491086,-14.116103993416075,-8.45623291192824,0.9447675040401337,1.0592324803043494,1.0598488422690076,1.0256359844764147,1.0262327968119225,217.94945346818892
2024-08-29 22:56:27,-9.426438205917941,2.648791573788126,-1.7562473067736006,-14.3005559684906,-7.587033416542053,0.9544120453720092,0.8759940958634522,0.8760338147558194,0.8482095135982676,0.8482479726958054,239.2821452134678
2024-08-29 22:56:28,-9.055453573579962,2.600059267902531,-1.6812166781609783,-14.460978,-6.926792,0.976183,0.885123948109332,0.8855586570305227,0.6501758348070666,0.6504951541931673,245.90556985374732
